1Input Node : A Input Slew : 0.06n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][8.349999999999873e-11, 6.60733333333347e-11, 9.350000000000014e-11, 6.033333333333495e-11]
2Input Node : A Input Slew : 0.06n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.3449999999999783e-10, 1.0207333333333433e-10, 1.7549999999999717e-10, 1.0699999999999817e-10]
3Input Node : A Input Slew : 0.06n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][2.3649999999999934e-10, 1.7374000000000027e-10, 3.320000000000001e-10, 2.0033333333333378e-10]
4Input Node : A Input Slew : 0.06n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][6.424999999999973e-10, 4.600733333333344e-10, 9.539999999999982e-10, 5.736666666666676e-10]
5Input Node : A Input Slew : 0.06n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.2504999999999985e-09, 8.920733333333344e-10, 1.886000000000001e-09, 1.1393333333333327e-09]
6Input Node : A Input Slew : 0.18n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.0149999999999846e-10, 9.400000000000046e-11, 9.450000000000045e-11, 6.80733333333318e-11]
7Input Node : A Input Slew : 0.18n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.5249999999999756e-10, 1.3007333333333456e-10, 1.749999999999999e-10, 1.0807333333333445e-10]
8Input Node : A Input Slew : 0.18n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][2.5499999999999964e-10, 2.014066666666657e-10, 3.3299999999999957e-10, 2.0000000000000006e-10]
9Input Node : A Input Slew : 0.18n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][6.614999999999982e-10, 4.877399999999998e-10, 9.540000000000015e-10, 5.736666666666675e-10]
10Input Node : A Input Slew : 0.18n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.2704999999999997e-09, 9.197400000000011e-10, 1.885e-09, 1.1383333333333353e-09]
11Input Node : A Input Slew : 0.42n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.3349999999999918e-10, 1.3199999999999833e-10, 1.1349999999999883e-10, 9.80000000000013e-11]
12Input Node : A Input Slew : 0.42n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.914999999999996e-10, 1.819999999999997e-10, 1.8750000000000085e-10, 1.350733333333317e-10]
13Input Node : A Input Slew : 0.42n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][2.944999999999981e-10, 2.5807333333333316e-10, 3.3800000000000276e-10, 2.0907333333333253e-10]
14Input Node : A Input Slew : 0.42n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][7.014999999999972e-10, 5.427400000000005e-10, 9.539999999999982e-10, 5.726666666666656e-10]
15Input Node : A Input Slew : 0.42n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.3104999999999987e-09, 9.740733333333316e-10, 1.886000000000001e-09, 1.1370000000000007e-09]
